Symbol,Exchange,Company,Currency,Price,Market Cap(Mil),US$ Market Cap($Mil),aEBTIDA*AT,ROE % (5y Median),Market Cap ($M),3 Year Total Revenue Growth Rate
ABEV,NYSE,Ambev SA,USD,4.8,77043.436,77043.436,20.1,27.44,77043.44,7.9
ACN,NYSE,Accenture PLC,USD,155.59,99384.545,99384.545,29.43,51.47,99384.55,8.1
AEIS,NAS,Advanced Energy Industries Inc,USD,49.58,1908.287,1908.287,24.38,26.08,1908.29,20.1
ALGN,NAS,Align Technology Inc,USD,241.26,19297.032,19297.032,27.84,21.03,19297.03,32.5
AMAT,NAS,Applied Materials Inc,USD,39.78,37944.409,37944.409,31.75,23.21,37944.41,21.3
AMCX,NAS,AMC Networks Inc,USD,62.15,3513.315,3513.315,37.36,898.93,3513.32,8.8
ANPDF,GREY,ANTA Sports Products Ltd,USD,4.4,14215.737,14215.737,24.75,24.43,14215.74,20.9
APH,NYSE,Amphenol Corp,USD,90.27,27200.801,27200.801,20.36,24.59,27200.8,13.8
ATHM,NYSE,Autohome Inc,USD,76.23,8929.647,8929.647,20.84,24.46,8929.65,39.8
ATZ,TSX,Aritzia Inc,CAD,17.65,2007.413,1522.96,24.57,28.49,1522.96,20.3
ATZAF,GREY,Aritzia Inc,USD,13.28,1507.567,1507.567,24.57,28.49,1507.57,20.3
BAD,TSX,Badger Daylighting Ltd,CAD,35.08,1301.492,987.4,25.97,22.04,987.4,5.7
BIIB,NAS,Biogen Inc,USD,315.12,61986.872,61986.872,28.76,34.42,61986.87,7.7
BKFKF,GREY,Bakkafrost P/F,USD,49.85,2535.011,2535.011,23.39,35.75,2535.01,15.5
BKNG,NAS,Booking Holdings Inc,USD,1871.09,86686.825,86686.825,25.14,29.39,86686.83,14.5
BR,NYSE,Broadridge Financial Solutions Inc,USD,97.53,11282.346,11282.346,24.95,31.17,11282.35,17.1
BTI,NYSE,British American Tobacco PLC,USD,35.15,79862.609,79862.609,23.18,71.09,79862.61,13.2
BURL,NYSE,Burlington Stores Inc,USD,169.63,11434.402,11434.402,24.99,2082.42,11434.4,8
CABO,NYSE,Cable One Inc,USD,915,5218.724,5218.724,20.56,22.24,5218.72,5.6
CEPU,NYSE,Central Puerto SA,USD,10.72,1619.121,1619.121,60.26,33.44,1619.12,66.1
CHRW,NAS,C.H. Robinson Worldwide Inc,USD,90.36,12424.897,12424.897,24.77,43.99,12424.9,7.3
CHSYF,GREY,China Medical System Holdings Ltd,USD,1.02,2481.216,2481.216,20.13,23.15,2481.22,19.8
CNS,NYSE,Cohen & Steers Inc,USD,37.61,1758.826,1758.826,35.77,33.45,1758.83,6.4
CNXM,NYSE,CNX Midstream Partners LP,USD,15.04,957.325,957.325,20.38,28.34,957.33,8.1
CPRT,NAS,Copart Inc,USD,51.73,12105.621,12105.621,30.46,31.1,12105.62,16.4
CRI,NYSE,Carter's Inc,USD,83.82,3843.055,3843.055,21.43,28.36,3843.06,5.5
CSU,TSX,Constellation Software Inc,CAD,993,21043.189,15964.789,25.47,41.03,15964.79,18
CTAS,NAS,Cintas Corp,USD,194.23,20305.561,20305.561,20.59,23.19,20305.56,14
DLMAF,GREY,Dollarama Inc,USD,27.17,8734.135,8734.135,40.55,50.31,8734.14,11.9
DOL,TSX,Dollarama Inc,CAD,36.35,11630.007,8823.312,40.55,50.31,8823.31,11.9
DOO,TSX,BRP Inc,CAD,36.28,3523.978,2673.529,21.15,460.58,2673.53,8.4
DOOO,NAS,BRP Inc,USD,27.31,2646.507,2646.507,21.15,460.58,2646.51,8.4
DRI,NYSE,Darden Restaurants Inc,USD,109.41,13513.128,13513.128,21.32,23.64,13513.13,6.1
DRMKY,GREY,dorma+kaba Holding AG,USD,12.17,2735.513,2735.513,21.79,25.83,2735.51,37.8
EGOV,NAS,NIC Inc,USD,17.13,1140.333,1140.333,29.15,37.82,1140.33,5.7
EL,NYSE,The Estee Lauder Companies Inc,USD,154.71,55875.452,55875.452,23.94,30.9,55875.45,8.3
ENTA,NAS,Enanta Pharmaceuticals Inc,USD,90.63,1761.406,1761.406,26.33,20.7,1761.41,8.7
EW,NYSE,Edwards Lifesciences Corp,USD,171.93,35941.841,35941.841,22.55,22.24,35941.84,13.9
FAST,NAS,Fastenal Co,USD,60.68,17350.325,17350.325,34.41,27.79,17350.33,8.7
FDS,NYSE,FactSet Research Systems Inc,USD,221.34,8418.771,8418.771,34.22,47.96,8418.77,10.3
FICO,NYSE,Fair Isaac Corp,USD,235.98,6860.222,6860.222,25.76,24.77,6860.22,7.2
FII,NYSE,Federated Investors Inc,USD,27.35,2748.68,2748.68,21.79,29.41,2748.68,8.7
FIVE,NAS,Five Below Inc,USD,126.83,7072.02,7072.02,26.74,27.55,7072.02,23.4
FIZZ,NAS,National Beverage Corp,USD,73.36,3421.271,3421.271,41.81,47.39,3421.27,14.7
FOXF,NAS,Fox Factory Holding Corp,USD,60.58,2301.317,2301.317,22.51,21.16,2301.32,15.7
GGG,NYSE,Graco Inc,USD,44.21,7358.18,7358.18,33.85,38.93,7358.18,8.7
GGGSF,GREY,Greggs PLC,USD,17.35,2060.263,2060.263,30.93,20.18,2060.26,6
HD,NYSE,The Home Depot Inc,USD,184.54,208443.052,208443.052,39.45,89.64,208443.05,6.7
HF,NYSE,HFF Inc,USD,41.55,1625.301,1625.301,23.53,34.68,1625.3,11.9
HLNE,NAS,Hamilton Lane Inc,USD,43.1,2161.213,2161.213,45.76,25.05,2161.21,16.8
IDXX,NAS,IDEXX Laboratories Inc,USD,207.74,17914.178,17914.178,37.7,603.86,17914.18,11.4
IGGRF,GREY,IG Group Holdings PLC,USD,6.68,2913.237,2913.237,25.84,26.2,2913.24,11.8
IMXCF,GREY,IMAX China Holding Inc,USD,2.35,955.537,955.537,23.94,20.81,955.54,17.7
INFY,NYSE,Infosys Ltd,USD,10.86,46204.409,46204.409,25.16,23.98,46204.41,9.3
INTU,NAS,Intuit Inc,USD,224.83,58351.314,58351.314,44.68,56.05,58351.31,12.5
JBHT,NAS,JB Hunt Transport Services Inc,USD,109.28,11879.938,11879.938,20.57,34.11,11879.94,5.3
JKHY,NAS,Jack Henry & Associates Inc,USD,132.67,10239.021,10239.021,26.7,24.24,10239.02,6.9
KLAC,NAS,KLA-Tencor Corp,USD,105.6,15984.037,15984.037,33.1,54.45,15984.04,12.8
LOPE,NAS,Grand Canyon Education Inc,USD,92.36,4445.603,4445.603,28.1,24.19,4445.6,12.1
LOW,NYSE,Lowe's Companies Inc,USD,97.17,78023.332,78023.332,20.18,28.76,78023.33,6.9
LULU,NAS,Lululemon Athletica Inc,USD,148.62,19677.882,19677.882,38.92,25.13,19677.88,13.8
LW,NYSE,Lamb Weston Holdings Inc,USD,70.62,10345.268,10345.268,26.07,39.28,10345.27,5.4
LXFT,NYSE,Luxoft Holding Inc,USD,58.35,1983.486,1983.486,23.02,27.03,1983.49,20.3
MA,NYSE,Mastercard Inc,USD,216.58,222427.66,222427.66,32.36,69.48,222427.66,15.6
MASI,NAS,Masimo Corp,USD,127.29,6745.834,6745.834,23.8,22.93,6745.83,10.8
MBUU,NAS,Malibu Boats Inc,USD,44.45,926.187,926.187,21,30.4,926.19,29.5
MC,NYSE,Moelis & Co,USD,46.23,2114.847,2114.847,41.74,20.19,2114.85,9.7
MCO,NYSE,Moody's Corporation,USD,161.03,30853.348,30853.348,27.2,774.07,30853.35,8
MKTX,NAS,MarketAxess Holdings Inc,USD,220.67,8295.559,8295.559,36.4,27.49,8295.56,14.8
MMI,NYSE,Marcus & Millichap Inc,USD,38.22,1477.255,1477.255,25.81,28.87,1477.26,7.9
